time,open,high,low,close,Volume,CVD (Open),CVD (High,CVD (Low),CVD (Close)
2023-08-11T03:00:00+03:00,29443.70,29565.10,29220.00,29415.50,179044.0080,0.00,0.00,-2197.63,-2197.63
2023-08-12T03:00:00+03:00,29415.50,29470.00,29360.00,29420.70,56238.0350,-2197.63,-806.46,-2197.63,-806.46
2023-08-13T03:00:00+03:00,29420.80,29463.00,29256.60,29293.30,84190.5050,-806.46,-806.46,-4795.73,-4795.73
2023-08-14T03:00:00+03:00,29293.30,29686.70,29070.00,29419.50,295035.3830,-4795.73,-4237.73,-4795.73,-4237.73
2023-08-15T03:00:00+03:00,29419.50,29492.10,29050.00,29188.80,191289.9590,-4237.73,-4237.73,-9937.95,-9937.95
2023-08-16T03:00:00+03:00,29188.90,29257.40,28705.10,28714.40,272023.1380,-9937.95,-9937.95,-23159.91,-23159.91
2023-08-17T03:00:00+03:00,28714.40,28775.90,24581.00,26609.70,868508.2200,-23159.91,-23159.91,-82000.76,-82000.76
2023-08-18T03:00:00+03:00,26609.70,26818.00,25600.00,26042.10,522375.3160,-82000.76,-82000.76,-96116.68,-96116.68
2023-08-19T03:00:00+03:00,26042.00,26269.40,25783.40,26088.30,202219.1530,-96116.68,-96116.68,-103850.16,-103850.16
2023-08-20T03:00:00+03:00,26088.40,26285.00,25948.50,26175.90,141089.8500,-103850.16,-103850.16,-106555.64,-106555.64
2023-08-21T03:00:00+03:00,26175.90,26280.00,25800.00,26115.40,232505.2650,-106555.64,-106555.64,-112214.29,-112214.29
2023-08-22T03:00:00+03:00,26115.40,26128.20,25280.00,26044.40,313113.5760,-112214.29,-112214.29,-116129.60,-116129.60
2023-08-23T03:00:00+03:00,26044.50,26806.00,25800.00,26419.20,412969.0280,-116129.60,-111036.57,-116129.60,-111036.57
2023-08-24T03:00:00+03:00,26419.20,26568.30,25835.00,26164.60,286753.3370,-111036.57,-111036.57,-113681.87,-113681.87
2023-08-25T03:00:00+03:00,26164.60,26300.00,25754.40,26051.70,274830.4940,-113681.87,-113681.87,-116060.54,-116060.54
2023-08-26T03:00:00+03:00,26051.70,26129.40,25969.00,26004.30,63925.8620,-116060.54,-116060.54,-116807.43,-116807.43
2023-08-27T03:00:00+03:00,26004.30,26173.60,25955.60,26087.70,86505.3980,-116807.43,-115680.85,-116807.43,-115680.85
2023-08-28T03:00:00+03:00,26087.60,26244.60,25850.40,26106.50,219992.0510,-115680.85,-115680.85,-117154.76,-117154.76
2023-08-29T03:00:00+03:00,26106.50,28168.00,25905.20,27700.10,700233.9460,-117154.76,-99163.78,-117154.76,-99163.78
2023-08-30T03:00:00+03:00,27700.10,27758.20,26950.00,27290.40,315313.9160,-99163.78,-99163.78,-107158.98,-107158.98
2023-08-31T03:00:00+03:00,27290.40,27674.30,25617.80,25928.00,502906.2770,-107158.98,-107158.98,-125034.94,-125034.94
2023-09-01T03:00:00+03:00,25928.00,26151.60,25312.00,25795.60,361184.9240,-125034.94,-125034.94,-125242.44,-125242.44
2023-09-02T03:00:00+03:00,25795.60,25975.00,25740.60,25855.80,107642.8640,-125242.44,-125242.44,-125542.30,-125542.30
2023-09-03T03:00:00+03:00,25855.80,26135.20,25777.00,25962.10,133016.8320,-125542.30,-124784.92,-125542.30,-124784.92
2023-09-04T03:00:00+03:00,25962.10,26099.30,25610.00,25814.00,173147.8730,-124784.92,-124784.92,-129725.22,-129725.22
2023-09-05T03:00:00+03:00,25814.00,25900.00,25531.20,25779.70,186639.9450,-129725.22,-129725.22,-129888.50,-129888.50
